id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Pulse Rising,Neon Vortex,electronic,energetic,0.87,128,0.79,0.91,0.02
12,Fading Echoes,Stone Hollow,indie rock,melancholic,0.64,95,0.52,0.58,0.45
13,Mountain Path,Wildwood Singers,folk,peaceful,0.33,75,0.68,0.42,0.88
14,Thunder Strikes,Iron Forge,metal,aggressive,0.96,165,0.35,0.72,0.08
15,Rise Up,Golden Echo,hip-hop,uplifting,0.78,95,0.85,0.84,0.15
16,Midnight Blues,Soulful Strings,blues,melancholic,0.52,88,0.42,0.51,0.76
17,Island Dreams,Rhythm Wave,reggae,peaceful,0.45,92,0.72,0.65,0.68
18,Moonlit Sonata,Symphony Plus,classical,calm,0.31,68,0.61,0.28,0.94
